,Links
0,#CITEREFRussellNorvig2021
1,#CITEREFLugerStubblefield2004
2,#CITEREFPooleMackworthGoebel1998
3,#CITEREFNilsson1998
4,#CITEREFRussellNorvig2021
5,#CITEREFLugerStubblefield2004
6,#CITEREFPooleMackworthGoebel1998
7,#CITEREFNilsson1998
8,/wiki/Expert_system
9,#cite_note-FOOTNOTENewquist1994296-29
10,#cite_note-FOOTNOTECrevier1993204–208-30
11,/wiki/Economics
12,/wiki/Philosophy
13,/wiki/Alan_Turing
14,/wiki/Computing_Machinery_and_Intelligence
15,#cite_note-FOOTNOTETuring1950-44
16,/wiki/Ray_Solomonoff
17,#cite_note-FOOTNOTESolomonoff1956-45
18,/wiki/AI_winter#Machine_translation_and_the_ALPAC_report_of_1966
19,/wiki/Conditionally_independent
20,/wiki/Google_AdSense
21,#cite_note-FOOTNOTEDomingos2015chapter_6-91
22,/wiki/Latent_variables
23,#cite_note-FOOTNOTEDomingos2015210-94
24,/wiki/Stuart_J._Russell
25,/wiki/Peter_Norvig
26,/wiki/Graph_(mathematics)
27,/wiki/Alan_Turing
28,#cite_note-FOOTNOTERussellNorvig2021785-122
29,/wiki/Frank_Rosenblatt
30,#cite_note-FOOTNOTERussellNorvig2021785-122
31,/wiki/Karl_Steinbuch
32,/w/index.php?title=Roger_David_Joseph&action=edit&redlink=1
33,#cite_note-FOOTNOTESchmidhuber2022§5-123
34,/wiki/Ernst_Ising
35,/wiki/Wilhelm_Lenz
36,#cite_note-FOOTNOTESchmidhuber2022§6-124
37,/wiki/Oliver_Selfridge
38,#cite_note-FOOTNOTESchmidhuber2022§5-123
39,/wiki/Alexey_Ivakhnenko
40,/w/index.php?title=Valentin_Lapa&action=edit&redlink=1
41,#cite_note-FOOTNOTESchmidhuber2022§6-124
42,/w/index.php?title=Kaoru_Nakano&action=edit&redlink=1
43,#cite_note-FOOTNOTESchmidhuber2022§7-125
44,/wiki/Shun-Ichi_Amari
45,#cite_note-FOOTNOTESchmidhuber2022§7-125
46,/wiki/John_Joseph_Hopfield
47,#cite_note-FOOTNOTESchmidhuber2022§7-125
48,/wiki/Henry_J._Kelley
49,#cite_note-FOOTNOTERussellNorvig2021785-122
50,/wiki/Arthur_E._Bryson
51,#cite_note-FOOTNOTERussellNorvig2021785-122
52,/wiki/Stuart_Dreyfus
53,#cite_note-FOOTNOTERussellNorvig2021785-122
54,/wiki/Arthur_E._Bryson
55,/wiki/Yu-Chi_Ho
56,#cite_note-FOOTNOTERussellNorvig2021785-122
57,/wiki/Seppo_Linnainmaa
58,#cite_note-FOOTNOTESchmidhuber2022§8-126
59,/wiki/Paul_Werbos
